company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
flysafetech.com	2441	146738	-0.299986028	-0.554780362	-0.475806439	2.6403241582
transalta.com	10883	14391	0.1250921569	0.3337028428	0.086561745	1.0924298602
antarespharma.com	1546	63700	-0.679816196	-1	-0.225804818	5.5474250043
mesalabs.com	5266	7275	0.2555015198	0.3628593629	0.295689889	2.5260759878
aam.com	10932	117861	0.0952839269	0.077544882	0.0721169007	0.6279865255
dailyjournal.com	10519	12568	0.1367952273	0.1508851061	-0.062371326	1.6916088284
apple.com	7538	1690	0.1547689625	0.1378617655	0.1801372165	3.826686762
selective.com	5578	17115	0.0561286825	0.1480225039	0.0965882297	0.4201588479
ultrapetroleum.com	11139	108645	0.3718679662	0.7810905664	-0.144444715	5.8927680997
cpicorp.com	1070	2555	0.2810991339	0.1190510439	1.5426725994	1.4708517641
nationalbeverage.com	6468	24463	0.1587027512	0.0670488891	0.6024264072	2.6365517842
genvec.com	8845	111965	-0.471021709	-0.999841463	0.4544824543	4.44695417
arthrocare.com	9897	61996	0.1773355802	0.25288497	-0.052682496	2.9158249388
resolutefp.com	2394	2337	0.0729029897	0.095954445	-0.242235487	0.7658752879
pfeiffer-vacuum.com	11634	63265	0.2846527759	0.2675025859	0.5686060283	3.3573142133
bostonprivate.com	6880	29211	0.0253469046	0.3099201694	-0.062310656	0.3377666415
bostonscientific.com	5302	25279	0.0766336506	0.3046924946	-0.298489642	1.1010065385
caleres.com	576	2436	0.1347084035	0.0603758982	0.7021812549	1.0042894092
ohainvestmentcorporation.com	6296	162219	0.0552694171	0.6941527056	0.3551643852	1.1337406466
thorindustries.com	7671	10549	0.2607569235	0.0854420802	0.1580472308	2.3749236458
hallmarkgrp.com	9937	27932	0.07924453	0.1625818162	0.2560196067	0.6398821021
dexcom.com	5328	162887	-0.722228247	-1	-0.339142694	4.3487218255
ingrammicro.com	4748	63919	0.0625499477	0.0153680731	0.0240827623	0.5149255722
uns.com	6001	10757	0.1162850453	0.2814615577	0.2014343404	0.9915645278
ilgenetics.com	9160	65930	-0.244984534	-1	0.0934573515	7.974544852
cohu.com	8944	3158	0.0713154113	0.0861624695	-0.107284237	1.4023208994
snl.com	3211	24965	0.2698451978	0.1385189733	0.9296715199	2.9157538013
meredith.com	5468	7260	0.1530243669	0.1954682254	0.0900670665	1.4467674372
autoliv.com	3107	64690	0.160405416	0.1324822237	0.3608310726	1.1762992095
wvtc.com	6528	11291	0.0266836507	0.063916627	0.021662302	1.7233945971
gartner.com	332	12441	0.1335813955	0.1309952363	0.5341067877	2.3364711534
airnet.com	3264	62957	0.4241604329	0.1387964608	-0.131964512	0.6727748599
equinor.com	757176	220546	0.4343071316	0.3234969128	0.1988311764	1.2291280221
identiv.com	8853	65552	-0.117924253	-0.180168387	-0.090644206	0.9506529062
gettyimages.com	11979	63196	0.1739890246	0.3698091593	-0.520331912	1.6306094317
pdf.com	4591	144437	0.0191463783	0.0424367321	-0.110769166	2.3533916272
parkelectro.com	8591	8348	0.1256520789	0.1760037075	0.0388736151	1.8653956481
dynavax.com	5965	141496	-0.573184955	-1	1.1805206948	3.5434318204
matrixservicecompany.com	2414	23195	0.1274830568	0.0485942255	0.6361784403	1.4498595679
singingmachine.com	11051	30964	-0.324933687	-0.045502383	0.823157001	1.2199823165
publicisgroupe.com	6768	101292	0.0704394743	0.1867304608	0.2296679645	0.6871310269
bankwithsouthern.com	7241	30055	0.0174744214	0.2722708491	0.0594855669	0.2668527791
omnifinserv.com	3842	175272	0.0204734449	0.271425607	-0.00279721	0.2791825421
usnrg.com	8249	10938	-0.311342749	-1	0.1529684345	1.8882121732
stillwatermining.com	11929	31203	0.1211854666	0.1494239564	0.0795145265	1.6847415356
picoholdings.com	9527	23768	0.0948723506	0.6296797747	0.0778026815	1.0288239719
irf.com	3900	6109	0.0938853655	0.200820925	0.2078361545	1.3724261374
comtechtel.com	1273	3358	0.1595506803	0.1855324627	0.246153804	1.6243051754
smithmicro.com	9381	61321	0.0856318593	0.2059887275	1.4256407269	3.0804600614
cybexintl.com	8899	6839	0.1795930605	0.1038259116	0.6216238685	1.4623655914
thinkorswim.com	3628	66325	-0.240206021	-0.185639641	1.5537010216	4.7469219141
morningstar.com	8422	160373	0.2065523694	0.2934940906	0.3005177847	4.2479008034
dcpmidstream.com	4944	165466	0.1000797448	0.0630891039	0.4695105816	1.7534589314
creative.com	9556	25773	-0.102235337	-0.075313229	-0.184153899	0.7983051072
synaptics.com	7045	142814	0.0637467149	0.1144741191	0.2010525435	2.0060237583
rockwellmed.com	5900	66366	-0.352391089	-0.166224358	0.5950773267	6.28685471
cheniere.com	893	29453	-0.027393484	-1	-0.224340802	1.5169965498
kadant.com	10971	25922	0.0967093631	0.1112808939	0.3178381203	1.004895735
riotinto.com	2956	19565	0.3050385574	0.4629735557	0.2093556165	2.1183586696
bankucb.com	10893	166747	0.0161090703	0.2996800755	0.1309098984	0.2384300282
acceleratediagnostics.com	601	21118	-0.368119266	-1	-0.342105273	2.6925963048
dexyp.com	869879	111631	0.0474654602	0.4042610425	0.0181949888	0.9179989531
purecyclewater.com	3662	8826	-0.012303141	-1	0.0947256559	1.3985172832
incyte.com	333	29127	-0.198963244	-1	0.0936335641	2.436363153
kaiseraluminum.com	4550	24293	0.1750076289	0.0845060046	0.3328576144	1.8294865426
saia.com	10506	150481	0.1725584735	0.0961487897	0.0922361263	0.9125733484
alcostoresinc.com	12013	4090	0.0816556935	0.0335850488	0.7075305016	0.6969629224
acusphere.com	6287	145160	-0.548269389	-1	-0.543071024	1.6000721352
ballantynestrong.com	11932	61285	0.0769616094	0.0772339741	0.0817980222	1.4551883466
townsportsinternational.com	889930	164606	0.2228429356	0.2179274037	0.3508196837	1.6745413634
abercrombie.com	2726	63643	0.3771041024	0.2423626725	0.0799989184	3.2542161056
everi.com	8836	163678	0.1629924216	0.1750348446	0.11240638	2.7357991971
aluminalimited.com	1508	16560	-0.004496076	0	-0.06044916	3.374637441
coffeeholding.com	362	160742	0.094615952	0.0350980047	-0.378461285	1.2701506691
insperity.com	6729	64302	0.1371343597	0.055419212	0.0260416928	2.1101760594
pega.com	11035	63290	-0.0270317	-0.045904319	0.3611760279	1.6287373836
delekus.com	3911	166563	0.1869601854	0.0553355987	0.1098686897	1.1847320413
rbc.com	190	15633	0.0213942397	0.3186017478	0.2598500464	0.3061927032
broadwayfederalbank.com	3883	61815	0.0160733567	0.2601075269	-0.023447995	0.2431153341
omegaprotein.com	10369	109084	0.1116591437	0.1602757555	0.1520097971	0.9987310555
checkpoint.com	5803	63185	0.1382203804	0.5000652014	0.0927206128	2.3775189555
firstharrison.com	11322	117034	0.0194637993	0.3001585642	0.1811326572	0.2874790256
spectrumbrands.com	7186	11670	-0.027881098	0	0.213172898	0.8201745546
pamtransport.com	11619	12598	0.2069716082	0.162490725	0.2377732776	0.7955998803
energyfocus.com	11381	30614	-0.199275719	-0.299193668	-0.238594848	1.9200566614
autoweb.com	151882	119173	-0.241467248	-0.271041498	-0.291497854	1.1975604671
riverbed.com	9467	174317	-0.096153719	-0.160708149	0.5743582637	13.129601368
teaminc.com	7237	10353	0.1980553115	0.1066895527	0.6499273552	2.2680587407
amerityre.com	4336	63798	-0.820684039	-1	-0.435713715	13.129601368
macerich.com	4557	29868	0	0	0.3373978192	1.5238684699
stewart.com	78	10086	0.0850585685	0.0502739811	-0.093691361	0.6172272935
u-g.com	2473	10902	0.2459232313	0.3214988521	0.0667819347	2.7941808831
asm.com	9791	1166	0.2006332952	0.190299864	0.2450911052	1.3002689137
wsbonline.com	8188	164365	0.0127008681	0.2148927435	0.5576913538	0.5605878785
amedisys.com	11819	30612	0.1633660804	0.1400023653	0.037563691	1.84008429
travelers.com	3833	62689	0.0599062948	0.272077611	0.2282458285	0.3711107234
americannational.com	413	1526	0.0253682613	0.146064562	0.0013185518	0.1805743889
proiris.com	704	6110	0.1237671058	0.1304791897	-0.421316509	3.0717319052
bankofoakridge.com	761	158313	0.0170515989	0.2362541806	0.0848254316	0.1955309555
perion.com	831	165923	0.0796524949	0.2306699843	-0.029259267	2.4708865517
lfg.com	12502	6742	0.0135634811	0.2671300894	0.2852711688	0.1805743889
mindspeed.com	10145	154434	-0.126960287	-0.090178709	-0.187233446	2.4459039589
kodak.com	6089	4194	0.1323324022	0.1427602833	0.1254107712	0.7116753771
dynatronics.com	1312	4124	0.0451666208	0.0336186132	-0.222220964	0.9368390251
wave.com	2241	30649	-1	-1	0.2401947143	11.418246795
cadence.com	6323	13421	0.1045496979	0.2425683758	0.0585094578	1.6504074042
forwardair.com	350	29206	0.3958894721	0.2390590717	-0.20428562	4.1288270255
westpac.com.au	1089	15362	0.0207191463	0.2864857495	0.2002190417	0.3733619
alchenergy.com	7149	1308	0.0977336331	0.2888800666	0.8476366458	1.3419557736
gd.com	412214	5046	0.1344744369	0.1250467523	0.3216490355	1.4726329639
encision.com	6715	63122	-0.035892062	-0.015010409	0.1379313141	5.7493162169
amnhealthcare.com	5630	144520	0.126633568	0.0728379232	0.3923141091	1.8296353633
energyfutureholdings.com	9027	10507	0.2180387316	0.512978762	0.1130633942	1.4467506925
smithfieldfoods.com	10773	9774	0.103408079	0.0560086289	-0.161438258	0.9006912005
alphanr.com	6420	162448	0.2434226776	0.1459766301	-0.259240758	1.2165397415
rayonier.com	5353	5862	0.1783673191	0.2846901994	0.0789504102	1.9435304822
pressurebiosciences.com	10378	63901	-0.374210828	-1	-0.231233279	0.7288932466
rvlti.com	676764	29921	-0.083176895	-0.104717753	-0.077777672	1.6611494585
coinstar.com	4937	65026	0.1451990926	0.1950913289	0.3390272376	1.4617058474
commscope.com	1712	65142	0.1722768917	0.1381733136	0.5141583004	1.6160202937
amkor.com	3776	110039	0.2187669337	0.2438385082	0.6678589118	1.2063579683
tat-technologies.com	12327	14229	0.1741171853	0.1487495647	1.4801869787	1.5777693736
tredegar.com	1736	15459	0.1423328861	0.0996610018	0.7702682793	1.2161579305
