company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
trecora.com	9166	1712	-0.030712339	-0.041514127	-0.387096636	0.4691758017
dianon.com	521	24353	0.2383851797	0.1539032524	2.1909072742	5.287516396
dailyjournal.com	10519	12568	0.2604279601	0.2415901331	-0.080459629	1.2385877318
eplus.com	9179	63986	0.0955564886	0.1246501192	-0.684027954	1.4057994411
statefinancialbank.com	764223	22751	0.0190056126	0.2453418375	-0.259825841	0.1608657958
cpicorp.com	1070	2555	0.158569328	0.0990082567	-0.092125278	1.2803019753
griffinlandscaping.com	20104	63912	0.1317613295	0.1815520903	-0.507812706	0.9388821091
bostonprivate.com	6880	29211	0.0249644605	0.2756971825	1.3642949034	0.4878410164
techglobal.com	767090	10458	-0.054210176	-0.04754667	-0.653845844	0.71562986
caleres.com	576	2436	0.1432916422	0.0584569273	-0.047388837	0.5558842094
lifeminders.com	243291	126620	-0.426389956	-0.905629937	-0.939393925	0.8170618845
thorindustries.com	7671	10549	0.2273022107	0.0717329029	-0.348756513	1.0009412737
cohu.com	8944	3158	0.2327998445	0.186114296	-0.545969379	1.2229743083
foundrynetworks.com	379872	124319	0.3319580592	0.3507142933	-0.90055922	4.4448961768
airnet.com	3264	62957	0.2366790987	0.2144996783	-0.451327373	0.5305254503
poniard.com	171497	14622	-0.27197555	-1	0.2923064475	2.2140851407
nb.com	11458	124614	0.0997339749	0.55139612	2.2653355079	0.958574032
pointwestventures.com	898373	62102	-0.004589352	-0.058560572	-0.936708867	0.8980489414
nextera.com	83215	120593	0.0255444208	0.0371428571	-0.95631058	0.4467411641
triumphgroup.com	12114	63876	0.1620417769	0.1859728005	0.6950894358	0.9443610176
stillwatermining.com	11929	31203	0.1643191866	0.4953869788	0.2345075659	2.4740526872
picoholdings.com	9527	23768	-0.035870377	-0.312526183	0.0101513003	0.4293376482
istavision.com	368879	138662	-0.797259198	0	-0.146920403	6.1910263731
comtechtel.com	1273	3358	0.0584141997	0.1108000722	0.0550840774	1.1582795106
smithmicro.com	9381	61321	-0.156915241	-0.174916291	-0.670454541	0.9606282878
interplay.com	498	111205	-0.099422826	-0.056166453	-0.127658989	2.0866437603
