company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
pharsight.com	769986	138611	-0.829207177	-1	-0.662162776	2.1093540142
trecora.com	9166	1712	0.0472663203	0.0715315757	0	0.3554103666
dailyjournal.com	10519	12568	0.1591004526	0.1002027563	0.0267376939	1.7094900387
eplus.com	9179	63986	0.1160482588	0.1579481425	-0.261781037	0.8307886135
statefinancialbank.com	764223	22751	0.022518575	0.3681498771	0.497169693	0.2855581156
cpicorp.com	1070	2555	0.2294357937	0.1300059511	-0.094256419	0.9742677258
nationalbeverage.com	6468	24463	0.1716848579	0.0702357701	0.2911390096	1.368325595
bostonprivate.com	6880	29211	0.0271537797	0.3477747061	-0.093556696	0.3659016521
caleres.com	576	2436	0.1163493119	0.0464442252	0.4955749399	0.7062168247
thorindustries.com	7671	10549	0.1746240726	0.0697631093	0.8609559595	1.7295803844
cohu.com	8944	3158	-0.007668968	-0.012626188	-0.246368551	1.3827621809
foundrynetworks.com	379872	124319	0.0711063373	0.106759282	-0.136196707	1.8916720963
airnet.com	3264	62957	0.1697934368	0.1684149028	-0.402913739	0.6211903617
poniard.com	171497	14622	-0.565382988	-1	-0.925303163	0.8619518717
nb.com	11458	124614	0.0659060128	0.4157114849	-0.230610928	0.7037413379
nextera.com	83215	120593	0.1267137981	0.1789491708	1.3395746E-6	0.8686531179
triumphgroup.com	12114	63876	0.1439728836	0.1816113713	-0.017230349	1.0068792248
stillwatermining.com	11929	31203	0.0988597856	0.3279366035	-0.710810744	0.4960736217
picoholdings.com	9527	23768	0.0155615799	0.2105964337	0.0592795557	0.4506833944
istavision.com	368879	138662	-0.602127373	-1	-0.930580132	1.1271630537
comtechtel.com	1273	3358	0.0833504495	0.0883986695	-0.129113057	0.7986504827
smithmicro.com	9381	61321	-0.165385752	-0.156920488	-0.561904343	1.1032249483
interplay.com	498	111205	-0.684641209	-0.222482329	-0.739130557	0.53944188
souplantation.com	5507	31811	0.1832150373	0.1308143876	0.5128583523	0.6394841575
crosswordtranslation.com	728944	24809	0.0079622283	0.0211032951	-0.924882641	0.5088551154
unionplanters.com	807963	10868	0.0336700966	0.4282965952	-0.023032727	0.352020325
diazyme.com	5658	121819	-1	-1	0.6646552386	10.662775108
synaptics.com	7045	142814	0.1709098151	0.1541601381	-0.414484689	1.9584184729
wellmaninc.com	499977	13407	0.1052869324	0.1002240702	-0.107054085	0.6908567151
robertmondavi.com	869234	28403	0.1048032587	0.20315934	-0.184211977	1.0412723989
hitchesbygeorge.com	610984	28602	0.1117318436	0.1223038013	0	0
biglariholdings.com	5092	3424	0.1803836876	0.1555791327	-0.094202193	1.2040995719
dixonusa.com	6479	4005	0.0827264535	0.0766782179	0.1199997142	0.4870018511
