company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
copart.com	12353	29901	0.2380609128	0.4132650494	-0.123861421	2.7846118599
flysafetech.com	2441	146738	-0.161385168	-0.447598913	0.9224800896	1.4313405205
skylinecorp.com	2064	9761	0.0403349099	0.02107967	-0.091171733	1.381790117
transalta.com	10883	14391	0.1092020102	0.2977981328	0.5145480913	1.0130953273
antarespharma.com	1546	63700	-1	-1	0.1481485964	10.814052871
brookstone.com	6002	27991	0.0468391954	0.0635085267	0.0199488334	0
trecora.com	9166	1712	0.1834259425	0.1527857267	0	0.8221563004
mesalabs.com	5266	7275	0.2148107978	0.3550443183	0.2110931688	2.5178506869
aam.com	10932	117861	0.0987774694	0.0777610486	-0.386005771	0.5292128553
nicor.com	790409	7904	0.0743077063	0.0971767229	0.1147583053	0.651101248
americanmortgageco.com	872808	121833	0.0649001929	0.6671883017	-0.032684115	0.9979372285
gardnerdenver.com	7061	30098	0.0926830548	0.1308770641	0.3585016414	1.0789550803
timet.com	319849	62984	0.1967442773	0.2380694527	1.8665215809	2.7015461652
selective.com	5578	17115	0.0550221173	0.1446704153	0.2196181788	0.4192095575
pharmacopeia.com	249528	160237	-0.353223668	-0.796696564	-0.403685252	1.1595393207
laserscope.com	151119	18100	0.2253735349	0.1981529845	-0.374547135	4.480796457
advancedpower.com	251771	138602	0.0679160004	0.0790907412	0.7609811207	1.9800039647
depomed.com	9665	65944	-0.382235078	-1	0.1111117862	3.9504956461
cpicorp.com	1070	2555	0.1894818653	0.0908200734	0.4295447336	1.0261299778
nationalbeverage.com	6468	24463	0.1554141602	0.0704317435	0.174281294	1.1692600195
genvec.com	8845	111965	-0.251091859	-0.396211494	0.0122695491	2.5853261259
arthrocare.com	9897	61996	0.203458712	0.2534315601	0.3144098416	3.9862674078
resolutefp.com	2394	2337	0.086367518	0.1277340835	-0.28365989	0.8227754988
ardengroupinc.com	902141	1728	0.2667333211	0.0833776262	-0.067255232	2.1025336163
maytag.com	3537	7139	0.0682394295	0.0411232954	-0.083011526	0.8411692355
bostonprivate.com	6880	29211	0.0229716609	0.3633590797	0.0908866022	0.3431968625
bostonscientific.com	5302	25279	0.2920937042	0.3810281713	-0.311110423	2.6976997328
caleres.com	576	2436	0.1293518521	0.056364597	0.4379035077	0.7921775038
ohainvestmentcorporation.com	6296	162219	0.0425187382	0.6129311839	-0.105745939	0.9157160608
tre-group.com	103125	64606	0.1029273623	0.2237897813	0.0609478684	1.7766985949
thorindustries.com	7671	10549	0.2297235391	0.0770320413	0.0941643277	2.3651780729
hallmarkgrp.com	9937	27932	0.072496721	0.1740104556	0.0734703204	0.7133979876
uap.com	713189	162198	0.0822945813	0.0435762662	0.2141547698	0.8088683074
ingrammicro.com	4748	63919	0.0662026527	0.0161666883	-0.041824902	0.5459597498
uns.com	6001	10757	0.1108213562	0.2818252429	0.3263219403	0.9674584717
ilgenetics.com	9160	65930	-1	-1	0	11.087177101
ebayinc.com	383101	114524	0.1543705286	0.3997609174	-0.257005263	5.1479227526
cohu.com	8944	3158	0.1180772501	0.1517233008	0.2451053157	1.6673255651
snl.com	3211	24965	0.3638259833	0.1527851564	-0.050330488	1.8599493967
meredith.com	5468	7260	0.1765959815	0.2156401965	-0.02319347	1.7893431538
idm-biotech.com	852553	164605	-0.581341665	-1	-0.77312493	0.8096180964
dealertrack.com	12424	164422	0.1477415407	0.2711218693	0	3.3663458967
qualcomm.com	10067	157635	0.0309224472	0.0403084721	0.2682930085	2.7064332571
foundrynetworks.com	379872	124319	0.0819481866	0.1870716295	0.049392016	2.1143474842
wvtc.com	6528	11291	0.0396458984	0.0989320459	-0.12113798	1.6550246962
rvlti.com	676764	29921	-0.002466752	-0.001919386	-0.052632216	1.2527885028
gartner.com	332	12441	0.1024150194	0.1063099846	0.0353126339	1.6769404754
swkhold.com	10676	123998	-0.240995911	-0.199522352	-0.190475671	1.4803719263
