company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
terreno.com	1816	183833	0.0135823245	0.1920548666	0.1789513909	1.0500709721
skylinecorp.com	2064	9761	-0.150396749	-0.057530945	0.2709369041	0.5027657632
transalta.com	10883	14391	0.0818767249	0.3494764398	-0.098832498	0.8937274865
antarespharma.com	1546	63700	-0.228916476	-0.98738966	0.1734907647	6.4723722732
trecora.com	9166	1712	0.1688557567	0.1026935956	0.5102278419	2.1712780249
mesalabs.com	5266	7275	0.25883281	0.3674383547	0.5827034951	2.7739781247
aam.com	10932	117861	0.1318586992	0.1245284195	0.8258909814	1.0251304061
dailyjournal.com	10519	12568	0.0324092767	0.1747000743	1.0729342104	1.1447446452
eplus.com	9179	63986	0.1664413345	0.0741319402	0.3749418303	0.9554173366
selective.com	5578	17115	0.0262563854	0.0871745424	0.434848163	0.304483502
ultrapetroleum.com	11139	108645	0.2135403521	0.6517929352	0.1941538208	2.0759681387
chalco.com.cn	5948	146352	0.0196993478	0.0231961888	-0.269521657	0.760706007
depomed.com	9665	65944	0.0327885612	0.1242725681	0.7092061243	1.1932979851
maxlinear.com	5581	184551	-0.050324584	-0.052546679	1.0776885297	2.950445453
nationalbeverage.com	6468	24463	0.3835613156	0.1208854287	0.3817700605	3.6063025182
ambitbio.com	2231	185857	-0.123816736	-0.337947071	0.409358205	2.3359544545
genvec.com	8845	111965	-1	-1	0.7313463616	4.3745464571
arthrocare.com	9897	61996	0.1431411062	0.2249959655	0.1633425384	2.0541787892
nationalgrid.com	9394	211819	0.0755506696	0.2878333694	0.1985779663	1.0253191465
digitalallyinc.com	2288	162233	-0.131313908	-0.095815102	1.6408093264	1.7589751672
resolutefp.com	2394	2337	0.0640668524	0.07733692	0.2099698941	0.392365831
wcicommunities.com	319	145186	0.0406383208	0.0877803302	0.1262535279	1.0199801601
bostonprivate.com	6880	29211	0.0215310942	0.4221417454	0.4335679179	0.2537669566
bostonscientific.com	5302	25279	0.0963128357	0.2234355313	1.097732947	1.2150140559
caleres.com	576	2436	0.1274628413	0.0574627656	0.5520049166	0.8907936161
ohainvestmentcorporation.com	6296	162219	0.0562566852	0.5897821725	0.1326492257	0.8581947762
norcraftcompanies.com	12108	66927	0.1553343931	0.121391248	0.108475	1.841725268
thorindustries.com	7671	10549	0.184409321	0.0755584483	0.5280091351	2.1642901508
quidel.com	6322	7526	0.114149953	0.1766717975	0.6545241766	3.8973864854
dexcom.com	5328	162887	-0.17877551	-0.136875	1.6055881328	9.5059221316
ingrammicro.com	4748	63919	0.0575732994	0.0159528906	0.3865262342	0.3788774386
uns.com	6001	10757	0.1049990066	0.3022228809	0.4614909848	1.0139188719
mflex.com	3592	160216	0.0138361296	0.0107193097	-0.31271653	0.6401463421
cohu.com	8944	3158	-0.053916502	-0.075309341	-0.008590904	0.7623696164
snl.com	3211	24965	0.4200606725	0.7086389568	-0.294067753	7.4675020011
meredith.com	5468	7260	0.1242124633	0.1806666032	0.5596600288	1.1568831514
dealertrack.com	12424	164422	0.0885030973	0.1757944403	0.6740932238	2.3896543872
autoliv.com	3107	64690	0.1562365745	0.1239293909	0.3974296117	1.3295746814
postholdings.com	10610	170527	0.0619782371	0.2082003675	0.4385394457	0.8545969831
wvtc.com	6528	11291	-0.189249389	-0.234270148	-0.17245365	1.639561227
aretecinc.com	1624	17419	0.4200606725	0.1203379602	0.1056373511	4.3758492536
gartner.com	332	12441	0.1739594815	0.1738979595	0.5438964717	3.77841515
sodastream.com	9054	185769	0.1320703754	0.113828651	0.1058152945	2.1694547824
mavenir.com	5452	18879	-0.034728281	-0.03654203	0.05283	2.6717076145
pyramidoil.com	745183	8838	0.0557827927	0.1801001821	0.2593211468	1.6695627645
midwestone.com	6079	65796	0.020731328	0.4502239489	0.353576343	0.2391380444
manutd.com	7468	200480	0.096451926	0.2969895549	0.1053371228	1.8813786641
identiv.com	8853	65552	-0.042410524	-0.032958603	-0.616199444	0.8320290968
pdf.com	4591	144437	0.2184977905	0.3255596187	0.8592143196	5.1586087957
parkelectro.com	8591	8348	0.0763516548	0.1599854888	0.2496579877	1.5661730573
himax.com.tw	9175	270705	0.1167507543	0.1150220762	3.4257437837	3.4424203933
