company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
flysafetech.com	2441	146738	-1	-1	-0.718919216	7.403540339
transalta.com	10883	14391	0.12296865	0.3090032154	-0.381375593	0.9737274472
antarespharma.com	1546	63700	-0.598362714	-1	-0.622449075	1.5128572146
trecora.com	9166	1712	-0.125659731	-0.079758132	-0.779310322	0.6721027856
mesalabs.com	5266	7275	0.3056045118	0.3989671746	-0.286378892	2.7187449967
aam.com	10932	117861	0.029452329	0.0313863076	-0.839018792	0.5736143613
dailyjournal.com	10519	12568	0.2571750873	0.2919591183	-0.225550805	1.2576675272
apple.com	7538	1690	0.1695896088	0.2066258198	-0.569114202	2.551479156
selective.com	5578	17115	0.0222858938	0.0644495232	0.0199798778	0.3007989769
ultrapetroleum.com	11139	108645	0.3306248783	0.7665387882	-0.517342853	2.2629727242
cpicorp.com	1070	2555	0.1982521341	0.1105828416	-0.824640848	1.0226135119
nationalbeverage.com	6468	24463	0.1872726056	0.0791182348	0.1194047977	1.5488202675
genvec.com	8845	111965	-1	-1	-0.707483019	1.7054899635
arthrocare.com	9897	61996	0.0552835704	0.0681454321	-0.900728418	0.4715534916
digitalallyinc.com	2288	162233	0.263345027	0.1702681992	-0.477157201	2.3021920925
resolutefp.com	2394	2337	0.0709861249	0.0846256092	-0.964336372	0.7426912785
bostonprivate.com	6880	29211	-0.005637503	-0.070661699	-0.743003312	0.2694775773
bostonscientific.com	5302	25279	0.0795534102	0.2681987578	-0.334480422	0.6767995372
caleres.com	576	2436	0.1427579077	0.0665326502	-0.429080386	0.8038518931
ohainvestmentcorporation.com	6296	162219	0.0630893652	0.6749152452	-0.393430883	0.7511593541
thorindustries.com	7671	10549	0.169521816	0.0639755669	-0.648066118	1.0914853266
hallmarkgrp.com	9937	27932	0.0540269466	0.108258588	-0.447037677	0.4525150168
dexcom.com	5328	162887	-1	-1	-0.687428916	3.2833755579
ingrammicro.com	4748	63919	0.0690673911	0.0142376706	-0.257761177	0.3725004246
uns.com	6001	10757	0.0860202982	0.2160226288	-0.037845984	0.8270287702
ilgenetics.com	9160	65930	-0.413032746	-0.501248128	-0.816513872	2.3333717295
cohu.com	8944	3158	-0.021166927	-0.036487211	-0.192354805	0.8240997882
snl.com	3211	24965	0.525699036	0.4850030509	-0.291419178	5.1107405845
meredith.com	5468	7260	0.153974034	0.198800158	-0.67840542	0.8601179052
autoliv.com	3107	64690	0.1417704011	0.1140085275	-0.573374143	0.6108302597
wvtc.com	6528	11291	0.0584073679	0.1404088734	-0.168029411	0.9970351204
gartner.com	332	12441	0.1755275304	0.1500025409	0.0153759219	1.9121739329
vcel.com	3256	64334	-0.781439524	-1	-0.03846226	1.9219144067
equinor.com	757176	220546	0.4073852506	0.3614253258	-0.431059716	0.7517619631
midwestone.com	6079	65796	0.0096191952	0.1903257107	-0.396927825	0.2100057523
identiv.com	8853	65552	-0.178788468	-0.259325859	-0.326348617	0.8611016578
pdf.com	4591	144437	-0.112876286	-0.12139876	-0.840177515	0.4798764238
zqpt.com	8907	2831	0.251427616	0.4327680864	-0.434042283	1.8702788353
tomotherapy.com	6691	177125	-0.103756944	-0.150081383	-0.878323028	0.4211755403
himax.com.tw	9175	270705	0.1729384597	0.1174413034	-0.59717628	0.5412329281
matrixservicecompany.com	2414	23195	0.2387424297	0.0871651547	-0.648487843	2.2957497824
singingmachine.com	11051	30964	0.0646766169	0.0137372314	-0.687305046	1.0533333333
bankwithsouthern.com	7241	30055	0.0174644584	0.2630592307	-0.181076607	0.3039815949
darabio.com	11880	179428	-1	0	-0.926340831	3.8968886603
usnrg.com	8249	10938	-0.056747832	-1	-0.614118244	0.3832364633
