company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
transalta.com	10883	14391	0.0873796353	0.3079422383	0.1756259151	0.9803351772
antarespharma.com	1546	63700	-0.494123178	-1	2.0810787254	4.8713367811
trecora.com	9166	1712	0.1657586173	0.1275566177	0.501375592	0.8967603612
mesalabs.com	5266	7275	0.2835145539	0.389858841	0.505540585	1.7191868711
aam.com	10932	117861	0.0518421582	0.0676919033	1.7750918521	0.8149617475
dailyjournal.com	10519	12568	0.1532761449	0.3213437562	0.8102165908	0.9447943929
apple.com	7538	1690	0.2615523884	0.2895699802	1.4690343713	3.5110638113
selective.com	5578	17115	0.0212892831	0.0709043955	-0.255969045	0.2249283896
ultrapetroleum.com	11139	108645	-0.175465108	-0.398905011	0.4447981579	4.0590696333
cpicorp.com	1070	2555	0.2140687224	0.0882070618	2.7190526423	0.7897304728
nationalbeverage.com	6468	24463	0.1783824271	0.0823972447	0.5399995598	1.8236722473
genvec.com	8845	111965	-1	-1	1.7907000237	9.4222928518
digitalallyinc.com	2288	162233	-0.037106272	-0.030114541	-0.336568457	1.5252850734
pamtransport.com	11619	12598	0.0921521085	0.082285636	0.4757133514	0.5170388942
bostonprivate.com	6880	29211	0.0111932607	0.1844865731	-0.149148346	0.2615750542
bostonscientific.com	5302	25279	0.0850379314	0.2614802149	0.1627923616	0.7751037058
caleres.com	576	2436	0.0754402157	0.0340033791	0.2175535113	0.4492991635
ohainvestmentcorporation.com	6296	162219	0.0403242346	0.5212071778	0.074377336	0.7677874364
thorindustries.com	7671	10549	0.0430711453	0.0269177395	1.4598865183	1.3937134485
hallmarkgrp.com	9937	27932	0.0667293188	0.1461961615	-0.09235865	0.3492259914
dexcom.com	5328	162887	-0.925705035	-1	1.9239089049	8.9085829002
ingrammicro.com	4748	63919	0.0482798755	0.0133793675	0.3032119729	0.397094922
uns.com	6001	10757	0.120103842	0.3092551387	0.1430111621	0.8435488895
ilgenetics.com	9160	65930	-1	-1	3.2999943681	9.4222928518
cohu.com	8944	3158	-0.012316808	-0.023741541	0.1765722534	0.9950401069
snl.com	3211	24965	0.570082515	0.3259527266	0.1929615872	9.4222928518
meredith.com	5468	7260	0.1297194098	0.1537063182	0.8797849389	0.9174259257
autoliv.com	3107	64690	0.1007019438	0.1019782452	1.049018702	0.9312781549
wvtc.com	6528	11291	0.0199059506	0.047069643	0.5420047429	1.3276738677
gartner.com	332	12441	0.1353055553	0.1442656606	0.0117778689	1.6939493565
ditechholding.com	765707	182788	0	0	2.5067720672	0.8661019805
equinor.com	757176	220546	0.2953876766	0.3596341702	0.5272061861	0.9921888338
sinohub.com	4543	178896	0.2820957902	0.1303579216	0.0126582392	1.9965789208
midwestone.com	6079	65796	0.0128982403	0.2305157376	-0.080657003	0.1837189362
identiv.com	8853	65552	-0.131096003	-0.204889265	0.0533323551	0.9225495966
pdf.com	4591	144437	-0.145785088	-0.19104835	1.6736143473	1.6200883785
zqpt.com	8907	2831	0.123965633	0.3078096976	0.5037588298	1.7566940808
tomotherapy.com	6691	177125	-0.119551824	-0.196968866	0.638657082	0.780589526
himax.com.tw	9175	270705	0.1041551609	0.0828041209	0.8581375441	0.900805562
matrixservicecompany.com	2414	23195	0.1913883955	0.0842037348	0.3885250525	0.9832969409
singingmachine.com	11051	30964	-0.187845304	-0.049211793	-0.286999251	0.3647513812
bankwithsouthern.com	7241	30055	0.0179610515	0.3085431953	0.1106402491	0.3005827468
darabio.com	11880	179428	-1	0	-0.118000451	4.7634492508
usnrg.com	8249	10938	-0.028557213	-0.435234237	2.6158525255	1.0732105396
stillwatermining.com	11929	31203	0.1056980678	0.1942210571	0.9190286667	1.5356503287
picoholdings.com	9527	23768	-0.058711463	-1	0.2313747417	1.1354509124
irf.com	3900	6109	-0.026204108	-0.050878528	0.6385192914	0.7524072312
comtechtel.com	1273	3358	0.1115854224	0.1786272196	-0.23526889	1.1698418296
piksel.com	3143	141240	0.037642699	0.0640174266	0.3924051012	1.5399557291
smithmicro.com	9381	61321	0.1060970991	0.2036652094	0.6456872636	1.4831305175
cybexintl.com	8899	6839	0.0419585942	0.0308697312	-0.36413156	0.4246223275
blackstone.com	8244	177088	-0.242270399	-1	1.1580636891	0.5160570108
apolloic.com	5856	266257	0.1001514926	0.6774438405	0.217467646	0.6091604499
morningstar.com	8422	160373	0.1843020152	0.3538255017	0.3616909264	2.5636548958
dcpmidstream.com	4944	165466	0.0877489031	0.1289426701	2.600080546	1.1045282214
synaptics.com	7045	142814	0.2014959293	0.1601662364	0.8508445247	3.7374579037
rockwellmed.com	5900	66366	-0.121763812	-0.077599123	0.8353214772	3.7939734511
cheniere.com	893	176914	0.1939592562	0.8653326615	3.3786982212	2.297353605
kadant.com	10971	25922	0.0370641236	0.0505530557	0.1839761818	0.7190947032
riotinto.com	2956	19565	0.103140812	0.237648397	1.8256439876	1.3218218445
bankucb.com	10893	166747	0.0139773245	0.2472796158	0.3145653315	0.1413005909
acceleratediagnostics.com	601	21118	-0.078187727	-0.322047244	-0.634781994	4.6954502007
newgenerationbiofuels.com	11493	162064	-1	-1	-0.209999894	4.5524228856
purecyclewater.com	3662	8826	-0.016254822	-1	0.1089477353	0.6115749692
incyte.com	333	29127	-0.191294095	-1	1.4036935586	2.1424405592
kaiseraluminum.com	4550	24293	0.1388300322	0.1526849037	0.9061915876	0.7839969968
boulderbrands.com	7531	164408	0.0295806677	0.0697903575	-0.117647209	0.7652730217
csst.com	11363	166028	0.1017389776	0.1354881471	0.724603754	0.8622932993
alcostoresinc.com	12013	4090	0.0290168842	0.0123627355	0.5709896275	0.3953623758
sandridgeenergy.com	12224	176899	-0.540132654	-1	0.5333349457	1.6356355948
ballantynestrong.com	11932	61285	0.0881248962	0.0735453109	2.0325220651	0.8762185683
abercrombie.com	2726	63643	0.2410064529	0.1938916627	0.5465388442	0.5843387762
aluminalimited.com	1508	16560	-0.003353933	0	0.53037418	1.3043204622
protection1.com	8428	30720	0.1580377517	0.245565844	0.3556475986	1.0597501989
coffeeholding.com	362	160742	0.2100080792	0.055862245	4.023488682	1.1389618259
insperity.com	6729	64302	0.0756760976	0.0263898769	0.1143882124	1.0481216195
pega.com	11035	63290	0.1601015791	0.1695446815	1.7632211044	4.4773932793
delekus.com	3911	166563	-0.008421913	-0.003862452	0.3123145627	0.5583023794
stamps.com	2515	121673	0.0787716507	0.0856144367	-0.084435772	1.5811355845
broadwayfederalbank.com	3883	61815	-0.01388553	-0.242029907	0.7584954055	0.2410058613
omegaprotein.com	10369	109084	0.0376179031	0.045189584	0.0872826982	0.5514114035
checkpoint.com	5803	63185	0.1575635084	0.5232011095	0.7840948513	2.3078863589
firstharrison.com	11322	117034	0.0124491256	0.2152835776	0.0364796898	0.1639389815
spectrumbrands.com	7186	11670	-0.041096786	0	0.1641806525	0.8855183376
energyfocus.com	11381	30614	-0.49884912	-0.694130835	-0.376935697	0.8250877546
autoweb.com	151882	119173	-0.182593953	-0.122113459	1.2222211508	1.2763209946
riverbed.com	9467	174317	0.0534496783	0.0685202945	1.0166806142	3.1880666523
teaminc.com	7237	10353	0.1899601698	0.105342281	-0.320939508	1.2757077207
amerityre.com	4336	63798	-1	-1	0.220471457	2.4746102403
big5sportinggoods.com	4545	145041	0.1586411087	0.064856813	2.3621162069	1.1735379464
stewart.com	78	10086	-0.027219609	-0.021845226	-0.517666531	0.3589404891
u-g.com	2473	10902	0.295148536	0.4160578444	0.322445184	3.0343855525
asm.com	9791	1166	0.0527421321	0.0760411364	1.9552244909	1.376751763
wsbonline.com	8188	164365	0.0038939851	0.0657205319	-0.3880603	0.3061461805
amedisys.com	11819	30612	0.2207939431	0.1710307316	0.1756162633	1.3521851391
proiris.com	704	6110	0.1264648737	0.1336019705	-0.113343081	2.2936590653
bankofoakridge.com	761	158313	0.0171129544	0.2523556098	-0.377396185	0.0963169432
perion.com	831	165923	0.305835464	0.4486486486	3.7882344936	2.3835524139
lfg.com	12502	6742	0	0	0.3413094591	0.0831234961
energyservicesofamerica.com	834250	174282	-0.012315964	-0.011885806	-0.302997543	0.6552403506
kodak.com	6089	4194	0.0708620465	0.0716539574	-0.358662093	0.3022523495
dynatronics.com	1312	4124	0.067887868	0.0357947357	1.7735463348	0.9690993153
wave.com	2241	30649	-0.48482933	-0.162422574	2.8378391771	9.4222928518
cadence.com	6323	13421	-0.00203745	-0.003370739	0.6366122769	1.4499066771
forwardair.com	350	29206	0.1434313137	0.1088354376	0.0455342983	2.4554241783
westpac.com.au	1089	15362	0.0153531185	0.256394261	0.9745095964	0.3716640593
alchenergy.com	7149	1308	0.0721354408	0.1539763715	-0.31454594	0.7399750421
gd.com	412214	5046	0.1363387714	0.1324849129	0.2153279057	0.9704125189
support.com	144	133825	-0.232926961	-1	0.1838565883	1.2030035603
amnhealthcare.com	5630	144520	0.1174280984	0.0601218758	0.0709231774	1.0383540015
eletrobras.com	12640	201792	0.047755613	0.2827227438	0.9967747509	0.4780297899
homebancshares.com	7940	164633	0.0253960627	0.4185388431	-0.096208935	0.3881767985
smithfieldfoods.com	10773	9774	0.0262547726	0.0151429006	0.0796023714	0.5871163179
bwaycorp.com	12395	177288	0.1466978375	0.1387660327	1.4145742766	0.9616422911
alphanr.com	6420	162448	0.1108605089	0.2275741963	1.6794305389	1.1744369873
safebulkers.com	8169	180112	0.3376775819	0.9026502011	0.4438683064	1.4541672976
rayonier.com	5353	5862	0.1551458966	0.2991125027	0.419446105	1.7990518662
orange.com	2890	220940	0.1737429968	0.343884405	-0.031292647	0.9301776844
rvlti.com	676764	29921	-0.173451088	-0.443540711	-0.531027291	2.0569282306
coinstar.com	4937	65026	0.160488355	0.1714243037	0.4238816113	1.084192954
commscope.com	1712	65142	0.121755779	0.1586447501	0.7072061968	1.0260739154
amkor.com	3776	110039	0.225829655	0.2521319493	2.2844020775	1.1285622931
tat-technologies.com	12327	14229	0.0168044276	0.0251772153	1.0736659951	0.6597890611
tredegar.com	1736	15459	0.1394229882	0.1281735025	-0.120430163	0.9010398823
mgcdiagnostics.com	12070	14581	-0.019543249	-0.017229876	0.2984116441	0.6761786048
williams.com	3309	163921	0.1076597641	0.3030823775	1.9661682706	1.9783409687
coca-colacompany.com	4522	3144	0.1978590947	0.3107454017	0.3007570167	2.9407655483
bankofamerica.com	372668	7647	0.0144757858	0.2139182453	0.07332979	0.4186169627
topimagesystems.com	5362	64036	0.0925854571	0.0714710631	0.0746243259	0.7773281224
thezenith.com	6859	13597	0.028869137	0.1203562641	0.0322991837	0.4814232374
parkebank.com	10299	151544	0.0211847178	0.3477355413	0.1040459635	0.1797302499
lancastercolony.com	6537	6573	0.3010225064	0.142705929	0.4848524168	2.4844580636
advancedphotonix.com	3119	23616	0.0671160087	0.0634203875	0.0147060788	0.8443275561
tradestation.com	5545	65521	0.0290041136	0.2258984047	0.2232558244	0.3060056272
pctel.com	288	125014	0.001710288	0.0039462876	-0.098935604	0.8472850532
htgc.com	1221	160541	0.1075472477	0.7369441415	0.5670279718	0.9840269801
symantec.com	4158	15855	0.1802072873	0.3119309824	0.3232255751	1.3438639547
echostar.com	9691	179202	0.0718039554	0.1308186402	0.3544048257	0.621420099
goldenflake.com	1868	5210	0.1266034885	0.0377264281	0.7827692807	0.9313169894
emeritus.com	3058	61584	0.0633089945	0.147220751	0.869392904	1.104976339
rjet.com	11449	147639	0.0805408954	0.2182688291	-0.308341597	0.6841430797
landec.com	5913	62169	0.1025225084	0.0666997262	-0.051669851	1.1628624477
gpstrategies.com	8219	7759	0.1060682446	0.0758118956	0.6696237168	0.893214721
gsr.com	11892	20488	0.1749392144	0.3290994887	2.1200017265	1.2303533591
tiinetworktechnologies.com	9929	10286	0.0518529369	0.0774137114	0.9841288136	0.4340303208
cantelmedical.com	6673	2942	0.1409466983	0.1506056528	0.3755956915	1.0832944784
trimble.com	4903	22815	0.0982919413	0.1530136496	0.1661290079	1.8176380572
vaughanfoods.com	5401	177795	0.0679211896	0.0206708713	-0.123727941	0.4684074931
ampni.com	6254	165642	0.0746641581	0.0292299349	0.6236565537	1.640901974
oceanbiochem.com	10117	8073	0.1688969485	0.109649657	0.3792847787	0.7129333292
clicksoftware.com	753	137110	0.1885355686	0.2049637616	2.7837806326	3.186022363
sst.com	170	61592	0.0011644851	0.0014980561	0.1179032213	0.7618204167
hydrogenics.com	10046	140910	-0.50641165	-0.989331776	-0.092683265	0.9353564443
tri-valleycorp.com	726628	22008	-0.555047644	-1	0.0888885497	4.2937419521
colfaxcorp.com	7110	179577	0.080302101	0.1528577741	0.1588041014	0.612328945
omnicomgroup.com	12674	4066	0.0903145524	0.138089022	0.4822115242	0.8021427734
umpquabank.com	6104	65228	0.0019802008	0.0373596274	-0.054197432	0.1799618712
mflex.com	3592	160216	0.1862491206	0.128139586	1.4268592048	1.3949669348
andalaysolar.com	2429	174393	-0.680316401	-0.448237964	-0.273256608	2.4809379036
paramountnevada.com	9348	126036	-0.263966786	0	2.1521727269	4.5956500838
fisglobal.com	11192	165993	0.0672400983	0.2496882876	0.4542001341	0.8595459222
kbw.com	3188	175953	0.0773415821	0.1261281041	0.1895634787	1.3910952091
cincinnatibell.com	10391	3036	0.2274378724	0.3514221557	0.787563334	1.3688295306
core-mark.com	8440	162876	0.1234695383	0.0166879336	0.5315987338	0.5403123765
biglots.com	2027	12123	0.2328494099	0.0718033756	0.9999995208	0.811042802
interdigital.com	4644	6100	0.1936077546	0.5896591841	-0.034184351	1.2696877957
perceptron.com	2161	25676	-0.036077663	-0.038319033	-0.029981227	0.4670071452
statestreet.com	313	10035	0.0315234321	0.5318308054	0.1081028184	0.4157207296
telus.com	204	2408	0.1915292159	0.3831980012	0.1622403899	0.8625064389
delcath.com	3364	140023	-0.367538783	0	3.2941142263	5.0250346401
igt.com	12006	6097	0.1624584112	0.3372280038	0.6044721746	1.9474426872
colonybank.com	1543	66504	-0.010026096	-0.173827115	-0.412781848	0.1656770809
astecindustries.com	11580	12262	0.0768115133	0.0614935225	-0.140121878	1.0281315144
cnutg.com	8504	163819	0.2914814426	0.2552413258	0.2835423905	1.9774342819
sanmina.com	10319	28139	0.0518685475	0.0312955277	2.9113579506	0.6765208968
approachresources.com	3882	178798	0.0584367534	0.458497343	0.056087336	0.6086756175
penskeautomotive.com	384	63847	0.0693705254	0.0276518005	0.9765633171	0.9308231623
friedmanindustries.com	12445	4903	0.371551439	0.1075965131	-0.093739834	0.5544009262
enzo.com	3240	4418	-0.154903551	-0.230228196	0.1002045388	1.450148729
victorystatebank.com	2384	66098	0.0252531646	0.45802403	0.3917247576	0.0881892152
lifestorage.com	8142	60914	0	0	0.0791820278	1.2364766061
realtyincome.com	605	30822	0	0	0.2084515031	1.5109770182
akamai.com	156	125595	0.165952738	0.4029296105	0.6792573735	2.1744467428
mmc.com	8069	7065	0.1072569603	0.1567711808	-0.055029212	0.9967545152
jbhunt.com	1130	5783	0.2355607206	0.1365507859	0.2486207709	2.5155173261
allscripts.com	3501	181104	0.1318398247	0.2290099719	1.0393132674	1.9978714982
omegahealthcare.com	649	25633	0	0	0.3148557928	1.5488577569
cpk.com	11303	138321	0.1895745422	0.0998967934	0.254663495	0.9928001645
ascenaretail.com	5373	4072	0.1405823006	0.1064851871	1.1499077937	0.9555569476
navg.com	6364	17074	0.0280701125	0.1275744099	-0.142051156	0.2627755173
eplus.com	9179	63986	0.1310378375	0.068308246	0.570871597	0.4936884674
phazarcorp.com	415	6308	-0.137171888	-0.155129959	0.5775391829	0.9018071852
dplinc.com	6515	3814	0.1575363155	0.3610674051	0.269202184	1.2715185765
lannett.com	9567	22632	0.1797603089	0.1881817112	0.1819996643	1.4089097506
elecsyscorp.com	2410	29304	0.1130653266	0.0987112695	-0.137501038	1.0115431323
rfm.com	3992	30540	0.0451023796	0.0203851926	2.0285766543	0.8099903154
divx.com	4504	174471	-0.0217873	-0.064059712	0.078393096	0.8916230407
dealertrack.com	12424	164422	0.0760108992	0.1591217324	0.5803206887	1.6098713391
adm.com	12128	1722	0.1075827133	0.0491054655	0.1076167914	0.8038733576
intel.com	1810	6008	0.2578585554	0.3897571669	0.4395640756	2.1638610039
immunogen.com	12807	17101	-0.266335002	-0.958303559	0.8321679179	4.8745148157
ncr.com	930	7648	0.0439667807	0.039028621	-0.212870529	0.43755447
csi360.com	10291	179413	-0.443042697	-0.567878713	-0.506452098	1.9209747133
donaldson.com	6041	4036	0.1892449453	0.1346605296	0.2818364017	2.4203412004
baidu.com	9235	164532	0.3087343487	0.4273752576	2.1495007057	9.4222928518
pharmacyclics.com	10909	61448	-1	0	2.9746868276	2.3649669417
generalmoly.com	8126	122212	-0.044203877	0	0.7627104262	0.7209169979
as-e.com	2036	1554	0.1726434751	0.2121108043	0.0384169657	1.8681255521
azz.com	4774	1926	0.2386676628	0.2053016267	0.3027890589	0.9748518106
northerntrust.com	2789	7982	0.0250701533	0.4911163578	0.0252918984	0.3298701874
meridianbioscience.com	7734	12433	0.3406411662	0.358383803	-0.125027106	6.4919833715
cott.com	1711	20338	0.1984435798	0.1085989854	5.4062553674	1.0592600137
siebertnet.com	12469	7315	-0.141596534	-0.245844821	0.2031261543	1.1625195654
warrenresources.com	9296	151632	0.0988752741	0.4061228352	0.2311566467	1.0162413265
pendrell.com	7330	136306	-1	0	-0.044246991	8.037609872
lunainc.com	974	166583	-0.211876092	-0.133344903	0.1121360348	1.1144372461
avx.com	1634	1072	0.0938399352	0.1264510335	0.6208518597	0.8262017411
rymanhp.com	1240	24620	0.0627104689	0.1898191489	0.8219522643	0.7888457747
sangamo.com	9916	133871	-0.21535013	-0.848695182	0.7011490757	3.0462891845
airproducts.com	4445	1209	0.1530804123	0.2415760277	0.6553513529	1.6034147255
beaconpower.com	4898	141198	-0.342086317	-1	-0.066793229	1.7793370665
hanger.com	6428	16456	0.1220966909	0.1405646848	-0.046863725	0.9883195206
winland.com	11029	22729	-0.094316703	-0.048210405	0.1846145273	0.3717327549
readingrdi.com	8328	31629	0.0772531661	0.1446773019	0.6474401131	0.784013464
parkelectro.com	8591	8348	0.0803622943	0.1315842089	0.4817294926	0.9817461132
nabors.com	6669	1661	0.1174614761	0.3386295904	0.8287396247	0.9552645394
airt.net	5453	1210	0.2421185372	0.0783517889	0.6739868335	0.4889840155
ssrmining.com	2126	26768	-0.023903724	-1	0.3720208819	2.2463760376
lionbridge.com	4272	123016	0.1201749619	0.0471496468	0.839999667	1.0382899312
franklincovey.com	3960	25331	0.0171673223	0.0189827695	0.0413236052	0.9641157091
iconplc.com	568	110620	0.1639358519	0.1677748836	0.1036055598	1.4120758082
innospecinc.com	5304	110566	0.1469342662	0.1333333333	0.7357953538	0.5335477076
pranabio.com	4988	249507	-1	0	-0.305262642	6.5695995409
hauppauge.com	5711	31748	-0.174597957	-0.116353526	-0.232142744	0.3107019318
jll.com	10628	65108	0.0798086365	0.0996325284	1.1910247681	0.8801535584
ugicorp.com	5736	10801	0.1374077384	0.1447070306	0.0229152881	0.8309998709
sprottinc.com	7567	14137	-0.055837802	-0.671340505	0.6184972909	0.6677672252
mtsint.com	6857	64796	-0.022548028	-0.019503236	-0.306930514	0.6312032356
transact-tech.com	12365	63520	0.1503194934	0.0899119048	0.5119813713	1.8621209777
nevsun.com	4301	28080	-0.033730441	0	2.3750010636	2.2337926344
analogic.com	2585	1633	0.0456978242	0.0535379365	0.4273981082	1.0462713687
