company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
terreno.com	1816	183833	0.011956033	0.1436197387	0.130015174	1.2213356386
liberatormedical.com	8359	164275	0.2089113341	0.1601921522	0.2025259621	2.0439581602
transalta.com	10883	14391	0.0674157303	0.3255403617	-0.571813361	0.6240467708
antarespharma.com	1546	63700	-0.223410042	-0.413771957	-0.529182927	2.2157386296
icl-group.com	8491	220211	0.1178803569	0.1979648474	-0.416416336	0.9522276082
trecora.com	9166	1712	0.1742622995	0.1863862532	-0.157143815	1.4743099018
mesalabs.com	5266	7275	0.1873508353	0.3081452404	0.2959705307	2.4158404364
aam.com	10932	117861	0.1638929653	0.134482847	-0.16157414	0.8806113592
dailyjournal.com	10519	12568	0.0088476573	0.0459093183	-0.231967848	1.2560921313
eplus.com	9179	63986	0.1553925668	0.0776833712	0.232132442	1.2228058109
apple.com	7538	1690	0.2813628524	0.3496994202	-0.030400876	2.3402671308
selective.com	5578	17115	0.0395991966	0.1281363914	0.2599103009	0.3363454146
ultrapetroleum.com	11139	108645	-1	-1	-0.810030368	3.8838850997
chalco.com.cn	5948	146352	0.0288033423	0.0441617591	-0.284722809	0.775033209
maxlinear.com	5581	184551	0.1536299906	0.1710946864	0.9878545823	2.7478855622
nationalbeverage.com	6468	24463	0.339790111	0.1303495529	1.0088415217	4.2490605449
genvec.com	8845	111965	-0.683715524	-1	-0.115384778	3.356838212
digitalallyinc.com	2288	162233	-0.302121496	-0.354068897	-0.587466879	1.3973315157
resolutefp.com	2394	2337	0.0483412322	0.0559670782	-0.570129796	0.3005959716
wcicommunities.com	319	145186	0.0680983617	0.1041063419	0.1378941124	0.9980310015
gannett.com	274	23821	0.1579731271	0.1329377486	0.1886125541	0.7761136775
bostonprivate.com	6880	29211	0.0201405156	0.4052694905	-0.133147687	0.2150190282
bostonscientific.com	5302	25279	0.1070424089	0.2595960947	0.3917002577	1.6825229758
caleres.com	576	2436	0.1487764749	0.0703940454	-0.158050078	1.1845020266
ohainvestmentcorporation.com	6296	162219	0.0591788233	0.6132250896	-0.102356278	0.800752811
thorindustries.com	7671	10549	0.2142161506	0.0803679927	0.0254411052	1.9524220887
dexcom.com	5328	162887	-0.15890411	-0.115422886	0.4877407575	9.3699391344
ingrammicro.com	4748	63919	0.0629306604	0.0180008986	0.1067590252	0.4662787298
mflex.com	3592	160216	0.1714493678	0.1350536209	0.8414938272	1.0087613768
cincinnatibell.com	10391	3036	0.1958883388	0.2439630074	0.1285249652	1.4826782178
snl.com	3211	24965	0.4280715164	0.5925734915	0.0711124711	4.2410032905
greatsouthernbank.com	6824	19428	0.0223549646	0.4635379827	0.164178978	0.2522710041
meredith.com	5468	7260	0.1113621512	0.198619224	-0.174176095	1.0980032934
calithera.com	3579	21627	-0.425280528	0	-0.620792738	1.8436583498
postholdings.com	10610	170527	0.068521973	0.1359235833	0.4729058339	0.9497971888
jbtc.com	734963	180466	0.1384545143	0.1095457419	0.5311004211	1.9805901267
gartner.com	332	12441	0.1661403072	0.1670335858	0.0770691838	3.8134501257
sodastream.com	9054	185769	0.0824621352	0.0897524973	-0.189364563	0.841121068
mavenir.com	5452	15056	0.0343958625	0.0436953311	0.3088377741	0.6221829894
spscommerce.com	180	183974	0.0634047935	0.1046884266	0.2398014821	4.4862551245
manutd.com	7468	200480	0.0923777984	0.3042626179	0.1258068553	1.7454360342
identiv.com	8853	65552	-0.419251893	-0.371681416	-0.856731201	0.8358603607
pdf.com	4591	144437	0.1131674045	0.2215009645	-0.270524871	1.7585910131
parkelectro.com	8591	8348	0.0815696272	0.176480387	-0.339440107	1.557715309
imprivata.com	7396	20884	-0.136679447	-0.138557757	-0.130768389	2.3487300943
himax.com.tw	9175	270705	0.0558817554	0.0648116695	0.0553788812	1.9812692173
prothena.com	7795	16745	-0.205409152	-1	1.2819263356	5.6123618769
bankwithsouthern.com	7241	30055	0.0217696975	0.4424953096	0.2802485882	0.2051060563
apitech.com	4091	164099	0.0587435693	0.0872567591	-0.352111779	0.891449808
usnrg.com	8249	10938	-1	-1	-0.886278792	0.3194042014
genmarkdx.com	2353	184542	-0.539558776	-0.967471011	-0.429831561	4.8125116391
stillwatermining.com	11929	31203	0.0374985377	0.0661971831	-0.418589403	1.0115089806
picoholdings.com	9527	23768	-0.00927504	-0.0214192	-0.45251971	0.5955949362
outfrontmedia.com	5943	19507	0.1010610631	0.2567049808	-0.13780998	1.3667710392
xtantmedical.com	8960	185193	-0.035908262	-0.086560173	0.2027879035	1.0209591847
comtechtel.com	1273	3358	0.1000217356	0.1542456775	-0.335243737	0.9807669923
smithmicro.com	9381	61321	-0.025906101	-0.016047789	-0.248453705	1.3621722306
howardbank.com	2366	166723	0.0204444848	0.4275112642	0.1614034574	0.2150144651
rokabio.com	10647	20675	-0.384837071	-1	-0.721088544	0.4265577792
fsbwa.com	12435	181820	0.0365915394	0.5029006085	0.4417508916	0.2750356552
tesla.com	303	184996	-0.036334934	-0.07267355	0.0791318147	4.2282390336
morningstar.com	8422	160373	0.2478134111	0.3232758621	0.2549712372	3.4256902138
dcpmidstream.com	4944	165466	0.0485667336	0.1467181467	-0.401435056	0.959413878
jetpaycorp.com	12214	186158	0.0285370558	0.0980102488	0.2710284231	0.7681452258
mdly.com	60	21547	0.2661260445	0.4794144692	-0.581958525	1.1253353641
synaptics.com	7045	142814	0.16835593	0.1502055197	0.1670543993	2.3019379689
rockwellmed.com	5900	66366	-0.162601626	-0.257989919	-0.003891567	6.0051066931
cheniere.com	893	176914	0.0052896484	0.2545884131	-0.138912107	1.5897837958
sophirisbio.com	355916	154414	-1	0	1.2819263356	4.0529802069
kadant.com	10971	25922	0.1480777284	0.1577157036	-0.034399153	1.12814389
riotinto.com	2956	19565	0.0865514831	0.2208074448	-0.33054293	0.8237695199
bankucb.com	10893	166747	0.0143077794	0.4003113592	0.311871714	0.1471222503
acceleratediagnostics.com	601	21118	-0.314066492	-1	0.119853256	7.8960379403
purecyclewater.com	3662	8826	-0.014891666	-0.468158348	0.1999989574	1.6520852438
incyte.com	333	29127	0.0614934884	0.0821902724	0.4833808944	9.3699391344
kaiseraluminum.com	4550	24293	0.148788097	0.1336302895	0.1952987216	1.3666087833
crbard.com	9632	2044	0.2120415141	0.3068208431	0.1427848201	3.1073175019
sandridgeenergy.com	12224	176899	-1	-1	-0.886278792	1.2566189983
ballantynestrong.com	11932	61285	0.0385110074	0.0277391763	0.1135278449	0.9924549832
fogodechao.com	7918	189462	0.1014964256	0.1821531914	-0.345422525	1.2113478907
mazorrobotics.com	12783	286017	-0.289974495	-0.566370325	-0.181306145	4.2210743575
coffeeholding.com	362	160742	-0.039461375	-0.011781235	-0.249511685	0.8998582566
insperity.com	6729	64302	0.1226761726	0.0369832087	0.4458458712	1.4885232357
pega.com	11035	63290	0.1326832952	0.1220061667	0.3306573001	3.3506860924
delekus.com	3911	166563	0.0625281963	0.0360812218	-0.078898173	0.7531866222
stamps.com	2515	121673	0.1267862751	0.3132451848	1.2819263356	3.7930856353
broadwayfederalbank.com	3883	61815	0.0213098642	0.4753363229	0.1526712104	0.3003292779
issuerdirect.com	4653	183139	0.221217547	0.2126506024	-0.35029466	1.4461056401
checkpoint.com	5803	63185	0.1683840643	0.5237864131	0.0357631796	2.8074677823
