company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
terreno.com	1816	183833	-0.003815779	-0.058228571	-0.138660509	0.8996598377
transalta.com	10883	14391	0.1172131148	0.4295906872	0.025063159	0.9527737705
antarespharma.com	1546	63700	-0.101732479	-0.259387532	0.2941195767	5.4286204514
trecora.com	9166	1712	0.154901819	0.0858773939	0.9185518761	2.0385661592
mesalabs.com	5266	7275	0.233112349	0.3620605617	0.401724124	1.9636708771
aam.com	10932	117861	0.1543779791	0.1390715667	-0.230948423	0.8202353244
dailyjournal.com	10519	12568	0.1248348309	0.3284849187	-0.095138821	0.9922287923
apple.com	7538	1690	0.3060212596	0.3289822539	0.2555804754	3.0450189965
selective.com	5578	17115	0.0070237811	0.0255524332	0.0079270652	0.2217547424
ultrapetroleum.com	11139	108645	0.209357035	0.7752050154	-0.379736294	1.3185384967
cpicorp.com	1070	2555	0.2870792768	0.1014212537	-0.873006968	1.3080702364
nationalbeverage.com	6468	24463	0.3752082214	0.1200663786	0.2229825782	3.5200901482
genvec.com	8845	111965	-0.242683988	-0.408476105	-0.583928513	1.0109201098
arthrocare.com	9897	61996	0.1914611792	0.2875551235	0.0199610842	1.7789162872
digitalallyinc.com	2288	162233	-0.165907904	-0.113551617	-0.65714211	0.8992760654
resolutefp.com	2394	2337	0.0739917434	0.0979814971	-0.385297714	0.3229287075
bostonprivate.com	6880	29211	0.0180436984	0.3113943482	0.219278367	0.2470538552
bostonscientific.com	5302	25279	0.0824800376	0.2303857255	-0.294583914	0.5635957586
caleres.com	576	2436	0.1140201195	0.0522744581	-0.341712247	0.7877338828
ohainvestmentcorporation.com	6296	162219	0.0675887926	0.6215102319	-0.143088104	0.8009374038
thorindustries.com	7671	10549	0.140100328	0.0609143577	-0.176887621	1.1526231355
hallmarkgrp.com	9937	27932	-0.013587928	-0.031459427	-0.231868864	0.261610616
dexcom.com	5328	162887	-0.341016808	-0.53869352	-0.317949769	5.2200140278
ingrammicro.com	4748	63919	0.0569680302	0.014342902	-0.047146526	0.3401887626
uns.com	6001	10757	0.1102560931	0.2910842224	0.07746767	0.8332233589
nupathe.com	11165	184884	-0.704885085	0	-0.796910037	1.3300645078
mflex.com	3592	160216	0.1530639478	0.1151797643	-0.224235663	0.7663776778
cohu.com	8944	3158	0.0757809562	0.0886920328	-0.301770173	0.7636598195
snl.com	3211	24965	0.3752082214	0.6605332332	0.7053902598	6.7523357011
