company	firm_id	gvkey	profit_assets	profit_sales	stock_return	valuation
trecora.com	9166	1712	0.030164473	0.0519217544	0.4705908729	1.8596902537
gatewaymotorsbrokenbow.com	789358	22121	0.039996735	0.039212548	-0.062499824	1.6461309281
dianon.com	521	24353	0.2337282117	0.1416065827	0.086955654	1.6798435848
globalflooringdirect.com	655543	14547	-0.063764197	-0.075707956	-0.261904844	0.9479282856
sapiens.com	9068	28384	0.1135512073	0.1468898663	1.7173926241	3.0061173328
statefinancialbank.com	764223	22751	0.0255104705	0.3896946842	0.6484291983	0.2299565251
cpicorp.com	1070	2555	0.2270630674	0.1199505818	0.3896514743	1.0987313554
griffinlandscaping.com	20104	63912	0.1547345745	0.2047185142	0.7349403113	1.8045914922
aristaflutes.com	687301	27912	-0.255709625	-0.082100301	-0.272727544	2.1411092985
techglobal.com	767090	10458	0.0656821421	0.0592693939	-0.355263128	1.6720895169
caleres.com	576	2436	0.1021616197	0.0483055518	-0.22797277	0.7718013497
thorindustries.com	7671	10549	0.1857880668	0.050868385	0.3648227842	1.1907129363
brg.com	9597	60935	-0.028179191	-0.008046657	-0.404761783	0.9319083815
cohu.com	8944	3158	0.2764776662	0.239864505	0.326766713	1.7952884426
scottcareyinc.com	41397	61046	0.2795183208	0.2852556512	0.1590894413	1.3806761043
airnet.com	3264	62957	0.2967995692	0.3156952599	0.4576273422	2.6759852288
poniard.com	171497	14622	-0.108669915	-0.38127898	0.3636365481	3.4025460477
dailyjournal.com	10519	12568	0.4271924142	0.3189361468	0.174603585	2.6346131629
pointwestventures.com	898373	62102	0.0124346901	0.2418159358	0.4285704296	0.809966015
triumphgroup.com	12114	63876	0.1965969121	0.1344629069	0.3926698462	1.5723126988
stillwatermining.com	11929	31203	0.0307566127	0.0917049313	-0.068965509	1.7772250555
picoholdings.com	9527	23768	0.0566497712	0.2783283855	0.5606042093	0.4502682196
principalsolar.com	12252	15185	0.0129827624	0.0167299311	-0.218181656	0.2197932577
comtechtel.com	1273	3358	0.0908685969	0.0659500525	0.5454552407	0.6032859131
smithmicro.com	9381	61321	-0.113215353	-0.210801096	-0.589743687	1.2939554125
souplantation.com	5507	31811	0.2262013492	0.1564175863	0.41975432	1.2871500905
thinkorswim.com	3628	19438	0.1422628273	0.1167414151	0.2954526215	6.4235663594
crosswordtranslation.com	728944	24809	0.1356011539	0.1752630987	-0.304597259	0.9443173352
elscovers.com	115377	64754	-1	-1	-0.771428388	2.7132648504
unionplanters.com	807963	10868	0.0356302368	0.362755187	0.794061652	0.4406659795
wellmaninc.com	499977	13407	0.1047076882	0.1275244925	0.1591029949	0.7594944001
robertmondavi.com	869234	28403	0.1516862393	0.2243844215	0.3356176268	2.0017435523
hitchesbygeorge.com	610984	28602	0.108500133	0.0965699849	1.2000011399	0.7019062328
biglariholdings.com	5092	3424	0.2239845516	0.140937527	0.1546481526	2.1516394545
dixonusa.com	6479	4005	0.1599077958	0.1169701447	0.9672113426	1.0051359894
cubist.com	122282	63866	-0.411987265	-1	-0.051019627	2.9224736769
kaiseraluminum.com	4550	24293	0.0925047281	0.11747851	-0.236558072	0.5549807144
crbard.com	9632	2044	0.1754865942	0.1850020602	0.1438422606	1.7856452122
newregency.com	637694	21107	0.030359167	0.367683719	0.6032356033	0.266851628
royalwaylimo.com	700633	63666	0.4271924142	0.238447633	-0.36206906	4.4347016894
unfi.com	2800	63927	0.2057755553	0.0541572405	0.5294100667	2.9071406046
progressivegaming.net	628489	29250	0.0939357298	0.09302066	0.3571422969	1.0591888859
southernunionco.com	3799	9867	0.1073290368	0.1482488205	0.1394901574	0.888568719
west.com	5549	64055	0.2825837321	0.1999112408	-0.472528824	2.7703207514
lifelinesys.com	418067	6722	0.2733918475	0.2028649673	0.435713382	3.4380485699
bostonprivate.com	6880	29211	0.0293135506	0.2962039877	0.4883739646	0.4467152018
mapinfo.com	673585	29661	0.035989969	0.0387609985	0.0674163363	1.143568042
plcmed.com	247226	25013	-0.465447681	-1	-0.636111567	5.7119153126
timberline.com	182281	10574	0.3107090161	0.2270715096	0.7345174026	3.3359142657
smithfieldfoods.com	10773	9774	0.1303315536	0.0335122801	0.7368411505	1.2449997689
relianceinsurance.com	737881	12604	0	0	0.5884554042	0.222849437
rvlti.com	676764	29921	0.07258668	0.0960184778	-0.068626624	1.4132419556
stoneenergy.com	6670	28564	0.146527966	0.7454676052	0.1213386502	1.7961973096
