company	firm_id	gvkey	year
ascenaretail.com	5373	4072	2016
chinacache.com	8794	185542	2016
navg.com	6364	17074	2016
covisint.com	4771	18571	2016
palatin.com	12625	29086	2016
lannett.com	9567	22632	2016
mimedx.com	6714	178157	2016
cvcb.com	10928	63224	2016
amphastar.com	164	20659	2016
adm.com	12128	1722	2016
intel.com	1810	6008	2016
immunogen.com	12807	17101	2016
ncr.com	930	7648	2016
ditechholding.com	765707	182788	2016
csi360.com	10291	179413	2016
aveooncology.com	12802	184046	2016
donaldson.com	6041	4036	2016
baidu.com	9235	164532	2016
rljentertainment.com	3612	186675	2016
tiptreeinc.com	4926	177640	2016
generalmoly.com	8126	122212	2016
telenav.com	5405	184101	2016
as-e.com	2036	1554	2016
azz.com	4774	1926	2016
northerntrust.com	2789	7982	2016
meridianbioscience.com	7734	12433	2016
cott.com	1711	20338	2016
siebertnet.com	12469	7315	2016
pendrell.com	7330	136306	2016
lunainc.com	974	166583	2016
avx.com	1634	1072	2016
rymanhp.com	1240	24620	2016
sangamo.com	9916	133871	2016
crystal-clean.com	11003	179597	2016
petrobras.com.br	5319	222111	2016
oncomed.com	11529	3169	2016
luxfer.com	10061	268208	2016
semileds.com	2842	185380	2016
readingrdi.com	8328	31629	2016
invesco.com	10102	29804	2016
htgmolecular.com	11718	22713	2016
nabors.com	6669	1661	2016
bluebuffalo.com	9314	24437	2016
reliantbank.com	2356	17594	2016
airt.net	5453	1210	2016
ssrmining.com	2126	26768	2016
cerus.com	7420	64327	2016
franklincovey.com	3960	25331	2016
iconplc.com	568	110620	2016
exterran.com	11790	23864	2016
innospecinc.com	5304	110566	2016
franco-nevada.com	5307	178997	2016
pranabio.com	4988	249507	2016
fglife.com	3232	18635	2016
nationalbankofcommerce.com	1559	23294	2016
matrixservicecompany.com	2414	23195	2016
ugicorp.com	5736	10801	2016
coolsculpting.com	9474	187653	2016
vblrx.com	511	21209	2016
staffing360solutions.com	1997	190572	2016
coastway.com	10412	19529	2016
energous.com	6447	19977	2016
nevsun.com	4301	28080	2016
analogic.com	2585	1633	2016
macatawabank.com	3345	107325	2016
tetratech.com	11922	24783	2016
ridestbus.com	9548	163692	2016
transunion.com	9086	24638	2016
paratekpharma.com	9839	15539	2016
telecomitalia.com	275	19151	2016
echo.com	11916	179957	2016
midpennbank.com	120	66288	2016
immunepharma.com	2120	18566	2016
kingsway-financial.com	8509	61743	2016
aceto.com	10428	1094	2016
htlf.com	1647	61693	2016
iradimed.com	6251	20945	2016
douglasdynamics.com	11633	184258	2016
sequans.com	12850	186962	2016
flir.com	3620	28477	2016
cblproperties.com	803575	29082	2016
oramed.com	8107	170450	2016
continental-materials.com	3886	3465	2016
53.com	11250	4640	2016
gladstoneinvestment.com	6466	164155	2016
mgpingredients.com	7022	14891	2016
nomadfoods.com	4792	317427	2016
ozm.com	822321	178814	2016
lajollapharmaceutical.com	159	30281	2016
calpine.com	4418	63605	2016
whitestonereit.com	12357	185453	2016
triumphgroup.com	12114	63876	2016
plexus.com	2301	12945	2016
aethlonmedical.com	9533	27983	2016
sarepta.com	9366	64857	2016
redlion.com	9957	109079	2016
prgx.com	327	62494	2016
dow-dupont.com	9270	4060	2016
seaspancorp.com	8666	164534	2016
hfflp.com	3262	176592	2016
gsrc.com	2125	62844	2016
aosmith.com	8839	9771	2016
pwreit.com	9242	8611	2016
redhillbio.com	5902	296885	2016
francescas.com	1840	187041	2016
bioscrip.com	2183	63490	2016
logmeininc.com	741834	179666	2016
fairmountsantrol.com	4152	185277	2016
crt-crosstimbers.com	4843	24980	2016
edgewell.com	6959	133367	2016
auriniapharma.com	253	117829	2016
exone.com	12241	17012	2016
achaogen.com	10689	19718	2016
jensyn.com	2196	26562	2016
thecheesecakefactory.com	1616	25737	2016
mauiland.com	12235	7117	2016
regi.com	11461	187692	2016
rclcorporate.com	5461	28191	2016
bowl-america.com	5428	2342	2016
churchdwight.com	5447	3026	2016
unitedhealthgroup.com	4714	10903	2016
sequentialbrandsgroup.com	10973	166711	2016
creditacceptance.com	3948	25339	2016
anadarko.com	4021	11923	2016
microchip.com	5553	27965	2016
ecolab.com	88	4213	2016
revance.com	11384	19471	2016
nl-ind.com	1492	7658	2016
radiuspharm.com	4242	170520	2016
daktronics.com	914	29705	2016
tractorsupply.com	8199	29736	2016
solarcapltd.com	3530	184287	2016
phh.com	1981	8240	2016
commsystems.com	626	3275	2016
spragueenergy.com	5470	187709	2016
coca-colafemsa.com	5306	28844	2016
vmware.com	7465	178083	2016
yy.com	1572	16011	2016
agenusbio.com	8617	129466	2016
gencor.com	2968	7185	2016
equinor.com	757176	220546	2016
movadogroup.com	3205	7951	2016
slb.com	3712	9465	2016
adtran.com	5566	30576	2016
sharpsinc.com	8560	112819	2016
bxe.com	731089	108391	2016
schnitzersteel.com	3300	29217	2016
allstate.com	7977	28349	2016
kewaunee.com	779	6410	2016
scansource.com	2885	29910	2016
cresud.com.ar	553	201336	2016
graham-mfg.com	8596	5254	2016
commandsecurity.com	10732	22797	2016
sonicautomotive.com	11367	65831	2016
goldenent.com	12103	117036	2016
lakeshoresavings.com	339	166197	2016
recropharma.com	5325	19025	2016
immunedesign.com	8156	21008	2016
agios.com	12811	18159	2016
americanassetstrust.com	5231	185549	2016
flexiontherapeutics.com	6599	19511	2016
wasteconnections.com	2704	110732	2016
caasauto.com	11126	149683	2016
dmlp.net	12158	4045	2016
acuitybrands.com	2647	146017	2016
jetblue.com	5378	147305	2016
cnoocltd.com	3688	142540	2016
commvault.com	11624	174077	2016
gopresto.com	2359	7762	2016
staar.com	5701	9969	2016
jbssinc.com	3980	24755	2016
bazaarvoice.com	9990	188157	2016
alsic.com	9539	13582	2016
mvccapital.com	9999	137230	2016
blackstone.com	8244	177088	2016
omnicell.com	8964	142956	2016
everestre.com	899245	61388	2016
dna.com	128	18315	2016
ralphlauren.com	11836	64891	2016
viewray.com	8485	23106	2016
hemispheretv.com	4198	17687	2016
kirbycorp.com	6687	6461	2016
avnet.com	5994	1919	2016
gentherm.com	10659	28408	2016
ironmountain.com	5420	62374	2016
partech.com	7029	8334	2016
emcore.com	911	64637	2016
bachoco.com.mx	11484	221545	2016
ritterpharmaceuticals.com	10026	23422	2016
lglgroup.com	9730	6848	2016
univest.net	7390	19817	2016
summit-materials.com	1140	22603	2016
travelport.com	9228	21816	2016
karyopharm.com	7215	18930	2016
ambac.com	7951	24287	2016
unitedsecuritybank.com	5181	64228	2016
poolcorp.com	8178	61420	2016
etsy.com	9063	23238	2016
veritexbank.com	9520	21633	2016
chrobinson.com	10180	65609	2016
hawthornbancshares.com	7275	111179	2016
merit.com	2854	21777	2016
lightinthebox.com	676	17807	2016
drpeppersnapplegroup.com	4519	179700	2016
trinseo.com	519	187551	2016
contango.com	5030	22053	2016
tcpipelineslp.com	2598	120794	2016
intgla.com	7787	7632	2016
emersonradio.com	5167	4322	2016
cloudpeakenergy.com	6006	180635	2016
xyre.com	2768	179029	2016
calumetspecialty.com	3222	165846	2016
gevo.com	5031	186437	2016
bradyid.com	774668	2352	2016
weyerhaeuser.com	7141	11456	2016
zoeskitchen.com	989	20113	2016
gilat.com	8707	28236	2016
summerinfant.com	3386	176874	2016
ionispharma.com	7694	24040	2016
trilliumtherapeutics.com	450	162735	2016
sjindustries.com	12719	9831	2016
tucows.com	9689	62723	2016
bemis.com	7534	2154	2016
urban1.com	3407	120301	2016
ppg.com	10190	8247	2016
o2micro.com	10836	138961	2016
spisolar.com	10933	178377	2016
ftdcompanies.com	5682	162386	2016
cogentco.com	1804	147204	2016
wbmd.com	10004	115404	2016
cogentixmedical.com	11061	65218	2016
psbanker.com	788843	161924	2016
colgatepalmolive.com	832342	3170	2016
dycomind.com	5227	4115	2016
cytori.com	5952	254096	2016
ameriprise.com	9022	164708	2016
shellmidstreampartners.com	9942	20944	2016
cititrends.com	8502	163051	2016
crusaderinsurance.com	906794	10832	2016
clevelandcliffs.com	2693	3107	2016
cbiolabs.com	7360	166591	2016
scasurgery.com	6109	18841	2016
workhorse.com	11393	184957	2016
gtxinc.com	487	156857	2016
raytheon.com	12680	8972	2016
independent-bank.com	10307	17451	2016
enservco.com	11079	185323	2016
dinebrands.com	848882	24291	2016
tccsecure.com	3541	10364	2016
goldfieldcorp.com	5340	5218	2016
tegna.com	11388	4988	2016
angiodynamics.com	5737	264387	2016
sitomobile.com	11135	149360	2016
macysinc.com	8447	4611	2016
brasil-agro.com	5388	277487	2016
atmosenergy.com	2644	4383	2016
mtb.com	1621	4699	2016
aschulman.com	2544	9472	2016
ultratech.com	12187	28938	2016
keytronic.com	58	6416	2016
hain.com	3609	29609	2016
pseg.com	879	8810	2016
cityholding.com	7117	16781	2016
exlservice.com	9662	162449	2016
ceragon.com	12199	138501	2016
xroadscap.com	5935	199757	2016
mckesson.com	2666	7171	2016
cmc.com	3837	3246	2016
starbulk.com	9684	165743	2016
arraybiopharma.com	2545	141197	2016
globalp.com	8399	163935	2016
corecivic.com	9708	65084	2016
amsc.com	10439	24795	2016
vereit.com	375	186783	2016
seadrill.com	8773	273726	2016
murphyoilcorp.com	10709	7620	2016
amyris.com	8267	184717	2016
simmonsbank.com	197184	19355	2016
fgb.net	4465	108979	2016
liveoakbank.com	10314	20299	2016
inwk.com	6376	174541	2016
atricure.com	10306	163889	2016
starrett.com	969	10030	2016
pretivm.com	11376	186130	2016
brookfield.com	5141	179216	2016
artisanpartners.com	1300	16113	2016
natera.com	4925	24176	2016
idt.com	10337	6003	2016
genie.com	6204	190590	2016
newrelic.com	8299	22182	2016
entreeresourcesltd.com	814047	64517	2016
quantum.com	6909	8867	2016
kempharm.com	1608	23339	2016
immucell.com	9575	13235	2016
buckeye.com	10437	13526	2016
mellanox.com	3023	176363	2016
americancampus.com	8419	161048	2016
cascadianrx.com	2987	20245	2016
aixtron.com	11997	216019	2016
viasat.com	4745	64088	2016
netelement.com	8136	163806	2016
parkerdrilling.com	1051	8357	2016
prahs.com	8039	21739	2016
ondeck.com	3303	22165	2016
thehackettgroup.com	5676	111000	2016
db.com	6750	15576	2016
calavo.com	12508	147708	2016
ghco.com	7370	11300	2016
exxonmobil.com	3002	4503	2016
sonoco.com	3771	9815	2016
strattec.com	11174	31567	2016
ofgbancorp.com	351976	16981	2016
simpsonmfg.com	1078	30260	2016
cbrands.com	3169	2710	2016
pumabiotechnology.com	8844	170945	2016
wescoair.com	2244	187714	2016
cameco.com	11371	24370	2016
cfindustries.com	5846	163946	2016
cyilimited.com	2970	31424	2016
reynoldsamerican.com	10516	120877	2016
catofashions.com	395	2818	2016
dnb.com	11494	4094	2016
oi.com.br	2906	203944	2016
erieinsurance.com	3463	61380	2016
antheminc.com	10680	145046	2016
psbt.com	2400	66394	2016
euronetworldwide.com	2685	64536	2016
arbor.com	3378	160173	2016
federalrealty.com	11876	4605	2016
awac.com	11991	174053	2016
embraer.com	10436	213288	2016
cabotcorp.com	7790	2593	2016
ameriserv.com	8403	17269	2016
taitroncomponents.com	12448	31738	2016
magicsoftware.com	1803	25367	2016
mateon.com	8526	28795	2016
conedison.com	8212	3413	2016
kellyservices.com	2113	6379	2016
micron.com	1390	7343	2016
freshpet.com	12817	21798	2016
hamilton-bank.com	8352	13665	2016
regenxbio.com	1462	26146	2016
aetna.com	5262	1177	2016
huntsman.com	11684	162401	2016
cubic.com	135271	3639	2016
encompasshealth.com	815531	12589	2016
enphase.com	8353	187450	2016
codexis.com	7486	179841	2016
republicbank.com	8902	112721	2016
momentapharma.com	12092	264414	2016
bio-rad.com	9109	2220	2016
shiloh.com	11342	28518	2016
chembio.com	5675	140568	2016
installedbuildingproducts.com	7323	19516	2016
bancorpsouth.com	7119	14219	2016
enscoplc.com	9648	2270	2016
orexigen.com	246	176861	2016
hannonarmstrong.com	7697	17769	2016
idexcorp.com	56	15267	2016
preformed.com	117	19305	2016
bankofcommerceholdings.com	9071	112112	2016
credit-suisse.com	9291	28838	2016
activisionblizzard.com	2578	180405	2016
scholastic.com	12510	9466	2016
nextgen.com	224999	8858	2016
bokf.com	5502	24447	2016
energyfocus.com	11381	30614	2016
invivotherapeutics.com	681	185826	2016
cyanotech.com	5380	12575	2016
microsemi.com	12234	7346	2016
primowater.com	771	184526	2016
permapipe.com	8017	19431	2016
mack-cali.com	3812	30637	2016
ccrlp.com	1004	23537	2016
mosys.com	8446	141278	2016
abaxis.com	6644	24888	2016
amriglobal.com	12025	118081	2016
newmediainv.com	11768	19574	2016
expeditors.com	5252	4494	2016
elliemae.com	2141	186955	2016
alderbio.com	10670	20033	2016
inva.com	2013	160668	2016
1347pih.com	8920	19528	2016
associated-capital-group.com	3642	26413	2016
sajan.com	6346	184592	2016
imax.com	7555	30312	2016
oreillyauto.com	6647	28180	2016
usph.com	3056	25318	2016
acnb.com	3361	17173	2016
glpropinc.com	2352	18792	2016
huntingtoningalls.com	6759	186310	2016
viacom.com	10460	165675	2016
cellectar.com	6629	186974	2016
sunocolp.com	6704	12892	2016
ituran.com	9882	244641	2016
epam.com	7604	187697	2016
ea.com	11052	16721	2016
bhbt.com	9255	31895	2016
alaskaair.com	7024	1230	2016
searsholdings.com	2323	6307	2016
westlake.com	7612	160684	2016
stratasys.com	2385	30847	2016
adestotech.com	11798	26187	2016
poperesources.com	11964	19965	2016
phillips66partners.com	12066	17933	2016
solaredge.com	9790	23119	2016
chuys.com	3477	187775	2016
modine.com	11851	7486	2016
catalystpharma.com	7628	175966	2016
limoneira.com	8718	29962	2016
piedmontreit.com	577	146140	2016
emcins.com	1237	16716	2016
sands.com	11425	161844	2016
